neighborhood,rec_id,year,population
Amphi,H1RACE,2010,3322
Amphi,HADRBASE,2010,2284
Amphi,HAD1RACE,2010,2181
Amphi,U18RBASE,2010,2030
Amphi,NONHISP,2019,3566
Armory Park,WHITE,2019,1411
Armory Park,BLACK,2019,66
Armory Park,AMERIND,2019,61
Armory Park,ASIAN,2019,41
Armory Park,PACIFIC,2019,3
Armory Park,OTHRACE,2019,229
Armory Park,RACE2UP,2019,113
Armory Park,HISPPOP,2019,776
Armory Park,MINORITY,2019,958
Armory Park,WHITE,2010,1394
Armory Park,BLACK,2010,56
Armory Park,AMERIND,2010,52
Armory Park,ASIAN,2010,32
Armory Park,PACIFIC,2010,2
Armory Park,OTHRACE,2010,185
Armory Park,RACE2UP,2010,92
Armory Park,HISPPOP,2010,637
Armory Park,MINORITY,2010,788
Armory Park,DIVINDX,2010,67.7
Armory Park,HISPWHT,2019,445
Armory Park,HISPBLK,2019,8
Armory Park,HISPAI,2019,32
Armory Park,HISPASN,2019,2
Armory Park,HISPPI,2019,3
Armory Park,HISPOTH,2019,225
Armory Park,HISPMLT,2019,61
Armory Park,HWHITE,2010,369
Armory Park,HBLACK,2010,7
Armory Park,HAMERIND,2010,26
Armory Park,HASIAN,2010,2
Armory Park,HPACIFIC,2010,2
Armory Park,HOTHRACE,2010,181
Armory Park,HRACE2UP,2010,49
Armory Park,HRACEBAS,2010,636
Armory Park,H1RACE,2010,588
Armory Park,HADRBASE,2010,521
Armory Park,HAD1RACE,2010,490
Armory Park,U18RBASE,2010,198
Armory Park,NONHISP,2019,1148
Arroyo Chico,WHITE,2019,2060
Arroyo Chico,BLACK,2019,107
Arroyo Chico,AMERIND,2019,78
Arroyo Chico,ASIAN,2019,66
Arroyo Chico,PACIFIC,2019,7
Arroyo Chico,OTHRACE,2019,511
Arroyo Chico,RACE2UP,2019,180
Arroyo Chico,HISPPOP,2019,1614
Arroyo Chico,MINORITY,2019,1900
Arroyo Chico,WHITE,2010,2081
Arroyo Chico,BLACK,2010,97
Arroyo Chico,AMERIND,2010,70
Arroyo Chico,ASIAN,2010,55
Arroyo Chico,PACIFIC,2010,7
Arroyo Chico,OTHRACE,2010,443
Arroyo Chico,RACE2UP,2010,163
Arroyo Chico,HISPPOP,2010,1420
Arroyo Chico,MINORITY,2010,1676
Arroyo Chico,DIVINDX,2010,74.4
Arroyo Chico,HISPWHT,2019,952
Arroyo Chico,HISPBLK,2019,6
Arroyo Chico,HISPAI,2019,32
Arroyo Chico,HISPASN,2019,4
Arroyo Chico,HISPPI,2019,2
Arroyo Chico,HISPOTH,2019,504
Arroyo Chico,HISPMLT,2019,115
Arroyo Chico,HWHITE,2010,841
Arroyo Chico,HBLACK,2010,5
Arroyo Chico,HAMERIND,2010,28
Arroyo Chico,HASIAN,2010,3
Arroyo Chico,HPACIFIC,2010,2
Arroyo Chico,HOTHRACE,2010,434
Arroyo Chico,HRACE2UP,2010,105
Arroyo Chico,HRACEBAS,2010,1418
Arroyo Chico,H1RACE,2010,1315
Arroyo Chico,HADRBASE,2010,1048
Arroyo Chico,HAD1RACE,2010,986
Arroyo Chico,U18RBASE,2010,572
Arroyo Chico,NONHISP,2019,1395
Avondale,WHITE,2019,1141
Avondale,BLACK,2019,122
Avondale,AMERIND,2019,51
Avondale,ASIAN,2019,39
Avondale,PACIFIC,2019,2
Avondale,OTHRACE,2019,162
Avondale,RACE2UP,2019,119
Avondale,HISPPOP,2019,516
Avondale,MINORITY,2019,762
Avondale,WHITE,2010,1121
Avondale,BLACK,2010,105
Avondale,AMERIND,2010,41
Avondale,ASIAN,2010,31
Avondale,PACIFIC,2010,2
Avondale,OTHRACE,2010,126
Avondale,RACE2UP,2010,96
Avondale,HISPPOP,2010,407
Avondale,MINORITY,2010,613
Avondale,DIVINDX,2010,66.6
Avondale,HISPWHT,2019,266
Avondale,HISPBLK,2019,9
Avondale,HISPAI,2019,32
Avondale,HISPASN,2019,4
Avondale,HISPPI,2019,0
Avondale,HISPOTH,2019,158
Avondale,HISPMLT,2019,46
Avondale,HWHITE,2010,212
Avondale,HBLACK,2010,7
Avondale,HAMERIND,2010,25
Avondale,HASIAN,2010,4
Avondale,HPACIFIC,2010,0
Avondale,HOTHRACE,2010,121
Avondale,HRACE2UP,2010,37
Avondale,HRACEBAS,2010,406
Avondale,H1RACE,2010,370
Avondale,HADRBASE,2010,276
Avondale,HAD1RACE,2010,261
Avondale,U18RBASE,2010,299
Avondale,NONHISP,2019,1121
Balboa Heights,WHITE,2019,787
Balboa Heights,BLACK,2019,88
Balboa Heights,AMERIND,2019,92
Balboa Heights,ASIAN,2019,84
Balboa Heights,PACIFIC,2019,2
Balboa Heights,OTHRACE,2019,394
Balboa Heights,RACE2UP,2019,99
Balboa Heights,HISPPOP,2019,869
Balboa Heights,MINORITY,2019,1147
Balboa Heights,WHITE,2010,747
Balboa Heights,BLACK,2010,78
Balboa Heights,AMERIND,2010,78
Balboa Heights,ASIAN,2010,63
Balboa Heights,PACIFIC,2010,2
Balboa Heights,OTHRACE,2010,313
Balboa Heights,RACE2UP,2010,81
Balboa Heights,HISPPOP,2010,699
Balboa Heights,MINORITY,2010,933
Balboa Heights,DIVINDX,2010,84.5
Balboa Heights,HISPWHT,2019,388
Balboa Heights,HISPBLK,2019,9
Balboa Heights,HISPAI,2019,30
Balboa Heights,HISPASN,2019,0
Balboa Heights,HISPPI,2019,1
Balboa Heights,HISPOTH,2019,393
Balboa Heights,HISPMLT,2019,47
Balboa Heights,HWHITE,2010,317
Balboa Heights,HBLACK,2010,7
Balboa Heights,HAMERIND,2010,24
Balboa Heights,HASIAN,2010,0
Balboa Heights,HPACIFIC,2010,1
Balboa Heights,HOTHRACE,2010,311
Balboa Heights,HRACE2UP,2010,38
Balboa Heights,HRACEBAS,2010,698
Balboa Heights,H1RACE,2010,661
Balboa Heights,HADRBASE,2010,457
Balboa Heights,HAD1RACE,2010,437
Balboa Heights,U18RBASE,2010,349
Balboa Heights,NONHISP,2019,677
Barrio Anita,WHITE,2019,207
Barrio Anita,BLACK,2019,10
Barrio Anita,AMERIND,2019,29
Barrio Anita,ASIAN,2019,6
Barrio Anita,PACIFIC,2019,0
Barrio Anita,OTHRACE,2019,98
